Date,Bitcoin
2017-08-18,14.09090909090909
2017-08-19,13.969696969696969
2017-08-20,13.727272727272727
2017-08-21,13.575757575757574
2017-08-22,14.03030303030303
2017-08-23,13.787878787878787
2017-08-24,13.666666666666666
2017-08-25,13.636363636363635
2017-08-26,13.575757575757574
2017-08-27,13.363636363636363
2017-08-28,13.393939393939393
2017-08-29,13.757575757575756
2017-08-30,13.727272727272727
2017-08-31,13.818181818181817
2017-09-01,16.0
2017-09-02,16.037037037037038
2017-09-03,16.074074074074073
2017-09-04,15.962962962962962
2017-09-05,16.11111111111111
2017-09-06,16.40740740740741
2017-09-07,16.666666666666668
2017-09-08,16.22222222222222
2017-09-09,16.703703703703702
2017-09-10,16.85185185185185
2017-09-11,16.62962962962963
2017-09-12,16.40740740740741
2017-09-13,15.666666666666666
2017-09-14,14.703703703703704
2017-09-15,14.666666666666668
2017-09-16,16.037037037037038
2017-09-17,16.555555555555557
2017-09-18,16.296296296296298
2017-09-19,16.37037037037037
2017-09-20,16.62962962962963
2017-09-21,16.333333333333332
2017-09-22,16.555555555555557
2017-09-23,16.925925925925927
2017-09-24,17.074074074074073
2017-09-25,16.444444444444443
2017-09-26,16.85185185185185
2017-09-27,16.62962962962963
2017-09-28,16.77777777777778
2017-09-29,16.666666666666668
2017-09-30,16.88888888888889
2017-10-01,38.0
2017-10-02,39.03125
2017-10-03,38.34375
2017-10-04,40.40625
2017-10-05,38.6875
2017-10-06,38.34375
2017-10-07,37.3125
2017-10-08,38.6875
2017-10-09,41.4375
2017-10-10,41.4375
2017-10-11,40.40625
2017-10-12,53.125
2017-10-13,60.6875
2017-10-14,48.3125
2017-10-15,45.5625
2017-10-16,45.5625
2017-10-17,46.25
2017-10-18,45.21875
2017-10-19,44.53125
2017-10-20,49.34375
2017-10-21,50.03125
2017-10-22,45.21875
2017-10-23,48.3125
2017-10-24,50.71875
2017-10-25,48.65625
2017-10-26,47.28125
2017-10-27,44.53125
2017-10-28,42.46875
2017-10-29,44.53125
2017-10-30,46.9375
